player,espn,rotowire,numberfire,bloomberg,
newton,21,22,16,19.5
murray,13,17,17,15.3
moore,7,18,11,9.8
johnson,23,28,22,24
marshall,21,28,19,22.7
miller,8,12,11,12.1
smith,19,21,19,15.5
lions,8,13,8,8.6
bryant,9,8,8,8.5
