player,espn,rotowire,numberfire,bloomberg,
newton,21,24,16,19.3
murray,13,20,17,15.1
wilson,18,14,15,10.2
johnson,23,32,22,24
marshall,21,28,19,22.7
miller,8,10,11,12.1
smith,19,21,19,15.5
patriots,6,3,2,8.1
bryant,9,8,8,8.5
