player,low,mid,high,
brady,12.19,20.09,27.99
johnson,4.57,11.31,18.05
jennings,3.44,8.71,13.98
brown,0,5,10.3
mccoy,4.44,14.29,24.14
johnson,5.17,10.67,17.76
cameron,0,2.67,5.62
jackson,3.79,11.21,16.58
tucker,4.27,7.5,10.73
tampa,4.2,10.37,15.780
