player,low,mid,high
e manning,8.52,23.24,15.88
d bryant,4.61,12.58,20.55
r. white,6.61,12.81,19.01
j. jones,5.16,12.51,19.86
r. bush,4.63,12.52,20.41
d. richardson,2.26,5.14,8.02
j. graham,4.86,10.71,16.56
m. williams,3.66,8.75,13.84
b. walsh,4.45,9.22,13.99
cincy,2.3,11.99,20.21
