player,low,mid,high
dalton,5.13,11.47,17.81
megatron,7.35,14.27,21.19
marshall,4.88,10.01,15.14
bowe,1.67,7.6,13.53
rice,3.84,10.08,17.76
vereen,0.75,6.61,12.47
cook,4.11,8.85,13.59
brown,3.59,9.43,15.27
dallas,9.37,18.01,26.65
forbath,4.64,8.15,11.66
