player,low,mid,high
vick,4.98,12.39,19.8
green,5.68,10.83,15.98
thomas,4.8,11.43,18.06
fitzgerald,2.51,10.95,19.39
forte,3.29,9.76,16.23
murray,4.16,9.96,15.76
gonzalez,3.59,9.43,15.27
c. ivory,2.7,9.05,15.69
gostowski,5.38,8.35,11.32
new england,1.04,9.33,17.62
