player,low,mid,high
brees,8.43,18.92,29.41
amendola,1.94,15.48,8.71
colston,2.04,9.02,16
wayne,5.87,11.54,5.87
spiller,3.51,17.49,10.50
Gore,5.08,11.12,16.42
f. davis,1.1,5.23,9.36
r mathews,3.68,7.52,11.36
prater,3.79,7.81,11.83
arizona,3.23,10.43,17.63
